Time,Abstich GOK
2025-04-05 05:00:00,-70.39 mm
2025-04-05 08:00:00,-71.44 mm
2025-04-05 11:00:00,-73.88 mm
2025-04-05 17:00:00,-77.72 mm
2025-04-05 20:00:00,-78.31 mm
2025-04-05 23:00:00,-79.45 mm
2025-04-06 05:00:00,-80.58 mm
2025-04-06 08:00:00,-83.30 mm
2025-04-06 11:00:00,-83.79 mm
2025-04-06 17:00:00,-88.23 mm
2025-04-06 20:00:00,-89.48 mm
2025-04-06 23:00:00,-90.05 mm
2025-04-07 05:00:00,-90.83 mm
2025-04-07 08:00:00,-93.81 mm
2025-04-07 11:00:00,-92.36 mm
2025-04-07 17:00:00,-97.93 mm
2025-04-07 20:00:00,-99.50 mm
2025-04-07 23:00:00,-100.12 mm
2025-04-08 05:00:00,-100.21 mm
2025-04-08 08:00:00,-101.09 mm
2025-04-08 11:00:00,-103.23 mm
2025-04-08 17:00:00,-108.32 mm
2025-04-08 20:00:00,-109.50 mm
2025-04-09 05:00:00,-109.39 mm
2025-04-09 08:00:00,-109.44 mm
2025-04-09 11:00:00,-110.63 mm
2025-04-09 17:00:00,-114.83 mm
2025-04-09 20:00:00,-118.75 mm
2025-04-09 23:00:00,-120.23 mm
2025-04-10 05:00:00,-120.69 mm
2025-04-10 08:00:00,-120.92 mm
2025-04-10 11:00:00,-123.34 mm
2025-04-10 17:00:00,-128.69 mm
2025-04-10 20:00:00,-131.61 mm
2025-04-10 23:00:00,-131.40 mm
2025-04-11 05:00:00,-130.97 mm
2025-04-11 08:00:00,-130.67 mm
2025-04-11 11:00:00,-134.69 mm
2025-04-11 17:00:00,-141.63 mm
2025-04-11 20:00:00,-144.57 mm
2025-04-11 23:00:00,-144.82 mm
2025-04-12 05:00:00,-143.14 mm
2025-04-12 08:00:00,-142.08 mm
2025-04-12 11:00:00,-146.42 mm
2025-04-12 17:00:00,-154.40 mm
2025-04-12 23:00:00,-153.13 mm
2025-04-13 05:00:00,-151.77 mm
2025-04-13 08:00:00,-148.38 mm
2025-04-13 11:00:00,-146.99 mm
2025-04-13 17:00:00,-157.61 mm
2025-04-13 20:00:00,-83.92 mm
2025-04-13 23:00:00,-70.33 mm
2025-04-14 05:00:00,-75.10 mm
2025-04-14 08:00:00,-77.63 mm
